target,n_events,n_event_channel,n_channels,n_channels_S_ge_2,max_S,max_S_run,candidate_events
Fornax-A,2463,20581,9,4,13.504877128078695,4,283
Cygnus-A,875,7657,9,0,1.0702388536275744,0,93
Sag-A,2233,18740,9,0,-0.6047976775813771,0,117
Mercury,1495,12581,9,0,0.0,0,107
Venus,1240,10513,9,0,-1.8330684275661562,0,95
Mars,1228,10403,9,0,-0.9226027034698933,0,78
Jupiter,855,7482,9,0,0.6203209651160199,0,69
Saturn,2137,18001,9,0,-1.4621173196318522,0,158
Uranus,794,6823,9,1,2.173641898087998,1,73
Neptune,2011,16784,9,0,-0.9709753062921076,0,114
Earth,673,5864,9,1,2.342606428329091,1,52
