target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,-3.9114833177572295,0.094,500
Cygnus-A,fixed,rv2_coarse,1,0.45,14.641394452654515,0.934,500
Sag-A,fixed,rv2_coarse,1,0.45,3.062847764303705,0.742,500
Mercury,planet,rv2_coarse,1,0.45,-0.13956998419410313,0.294,500
Venus,planet,rv2_coarse,1,0.45,0.252152829624412,0.324,500
Mars,planet,rv2_coarse,1,0.45,7.0075359912171775,0.886,500
Jupiter,planet,rv2_coarse,1,0.45,5.337476009880282,0.866,500
Saturn,planet,rv2_coarse,1,0.45,1.3073747142947396,0.474,500
Uranus,planet,rv2_coarse,1,0.45,-0.541679429576724,0.262,500
Neptune,planet,rv2_coarse,1,0.45,2.9201918577653267,0.724,500
Fornax-A,fixed,rv2_coarse,2,0.7,-1.3854677656785366,0.184,500
Cygnus-A,fixed,rv2_coarse,2,0.7,12.628722831643705,0.774,500
Sag-A,fixed,rv2_coarse,2,0.7,1.066598038558642,0.4,500
Mercury,planet,rv2_coarse,2,0.7,1.7309923967097736,0.444,500
Venus,planet,rv2_coarse,2,0.7,1.934127954992001,0.46,500
Mars,planet,rv2_coarse,2,0.7,2.2084673885093733,0.468,500
Jupiter,planet,rv2_coarse,2,0.7,12.602761190326254,0.762,500
Saturn,planet,rv2_coarse,2,0.7,4.086064304326296,0.604,500
Uranus,planet,rv2_coarse,2,0.7,-1.7961505493713743,0.15,500
Neptune,planet,rv2_coarse,2,0.7,-0.34410066520428634,0.266,500
Fornax-A,fixed,rv2_coarse,3,0.9,2.398401356839459,0.506,500
Cygnus-A,fixed,rv2_coarse,3,0.9,2.45359769391834,0.518,500
Sag-A,fixed,rv2_coarse,3,0.9,2.260389291340146,0.428,500
Mercury,planet,rv2_coarse,3,0.9,2.6810389596580153,0.596,500
Venus,planet,rv2_coarse,3,0.9,2.5310960119110506,0.534,500
Mars,planet,rv2_coarse,3,0.9,2.8018371533565225,0.706,500
Jupiter,planet,rv2_coarse,3,0.9,2.834998496853507,0.722,500
Saturn,planet,rv2_coarse,3,0.9,1.2439873797874779,0.254,500
Uranus,planet,rv2_coarse,3,0.9,2.9030227854641,0.768,500
Neptune,planet,rv2_coarse,3,0.9,2.1010264642808334,0.4,500
Fornax-A,fixed,rv2_coarse,4,1.31,6.246654979060853,0.582,500
Cygnus-A,fixed,rv2_coarse,4,1.31,0.9694166903250223,0.384,500
Sag-A,fixed,rv2_coarse,4,1.31,2.1990944693966537,0.396,500
Mercury,planet,rv2_coarse,4,1.31,1.3539521534935968,0.384,500
Venus,planet,rv2_coarse,4,1.31,1.6978120000686434,0.388,500
Mars,planet,rv2_coarse,4,1.31,5.096254977870263,0.5,500
Jupiter,planet,rv2_coarse,4,1.31,8.537758418572336,0.814,500
Saturn,planet,rv2_coarse,4,1.31,-2.0112244817376,0.244,500
Uranus,planet,rv2_coarse,4,1.31,8.21586317150981,0.77,500
Neptune,planet,rv2_coarse,4,1.31,1.0262434649866734,0.384,500
Fornax-A,fixed,rv2_coarse,5,2.2,-0.7744758494574989,0.15,500
Cygnus-A,fixed,rv2_coarse,5,2.2,3.675557397378894,0.712,500
Sag-A,fixed,rv2_coarse,5,2.2,3.508380638293106,0.594,500
Mercury,planet,rv2_coarse,5,2.2,3.892704322167376,0.96,500
Venus,planet,rv2_coarse,5,2.2,3.658564498488591,0.692,500
Mars,planet,rv2_coarse,5,2.2,3.8553508283582723,0.786,500
Jupiter,planet,rv2_coarse,5,2.2,3.8771923303844855,0.898,500
Saturn,planet,rv2_coarse,5,2.2,3.3064352818581937,0.542,500
Uranus,planet,rv2_coarse,5,2.2,3.8777655996642877,0.906,500
Neptune,planet,rv2_coarse,5,2.2,-0.37958443322630553,0.224,500
Fornax-A,fixed,rv2_coarse,6,3.93,1.362220586866954,0.428,500
Cygnus-A,fixed,rv2_coarse,6,3.93,2.199276944443552,0.834,500
Sag-A,fixed,rv2_coarse,6,3.93,1.737085647333677,0.61,500
Mercury,planet,rv2_coarse,6,3.93,1.8549155855523827,0.636,500
Venus,planet,rv2_coarse,6,3.93,1.9815369884465273,0.67,500
Mars,planet,rv2_coarse,6,3.93,1.279488529263242,0.316,500
Jupiter,planet,rv2_coarse,6,3.93,1.9370870997332295,0.656,500
Saturn,planet,rv2_coarse,6,3.93,1.7879823733293865,0.624,500
Uranus,planet,rv2_coarse,6,3.93,1.8445609117070265,0.636,500
Neptune,planet,rv2_coarse,6,3.93,1.655949997428197,0.556,500
Fornax-A,fixed,rv2_coarse,7,4.7,-0.7303802153684212,0.24,500
Cygnus-A,fixed,rv2_coarse,7,4.7,8.540360624316886,0.78,500
Sag-A,fixed,rv2_coarse,7,4.7,-2.194550956972738,0.018,500
Mercury,planet,rv2_coarse,7,4.7,0.8456814022813206,0.45,500
Venus,planet,rv2_coarse,7,4.7,0.28980583799179743,0.396,500
Mars,planet,rv2_coarse,7,4.7,0.3046665836255277,0.396,500
Jupiter,planet,rv2_coarse,7,4.7,8.547658936457186,0.866,500
Saturn,planet,rv2_coarse,7,4.7,3.0826345569131823,0.626,500
Uranus,planet,rv2_coarse,7,4.7,-0.09722376468387212,0.344,500
Neptune,planet,rv2_coarse,7,4.7,-0.3251014572749604,0.32,500
Fornax-A,fixed,rv2_coarse,8,6.55,1.7808833414921632,0.692,500
Cygnus-A,fixed,rv2_coarse,8,6.55,15.658813368321848,0.926,500
Sag-A,fixed,rv2_coarse,8,6.55,1.2932879006146611,0.614,500
Mercury,planet,rv2_coarse,8,6.55,-0.9837430828770205,0.112,500
Venus,planet,rv2_coarse,8,6.55,-1.0848114641609863,0.108,500
Mars,planet,rv2_coarse,8,6.55,0.8854444995917278,0.532,500
Jupiter,planet,rv2_coarse,8,6.55,14.457409158035203,0.87,500
Saturn,planet,rv2_coarse,8,6.55,0.2750821939929762,0.362,500
Uranus,planet,rv2_coarse,8,6.55,-0.6214124487269661,0.154,500
Neptune,planet,rv2_coarse,8,6.55,-0.8467051955906275,0.122,500
Fornax-A,fixed,rv2_coarse,9,9.18,0.9035622777617401,0.46,500
Cygnus-A,fixed,rv2_coarse,9,9.18,17.987243145270504,0.858,500
Sag-A,fixed,rv2_coarse,9,9.18,2.670553782766631,0.634,500
Mercury,planet,rv2_coarse,9,9.18,-1.4812080759677573,0.156,500
Venus,planet,rv2_coarse,9,9.18,-0.95683454541306,0.228,500
Mars,planet,rv2_coarse,9,9.18,0.20664182623309169,0.35,500
Jupiter,planet,rv2_coarse,9,9.18,0.12515085448993915,0.344,500
Saturn,planet,rv2_coarse,9,9.18,-0.21378361328841447,0.314,500
Uranus,planet,rv2_coarse,9,9.18,-0.8475022538755993,0.24,500
Neptune,planet,rv2_coarse,9,9.18,-0.1197578284601226,0.322,500
