frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,555,1.5445011831573274,0.06556042402083505,Mercury,rv2_coarse,per_band
1,Ingress,798,0.7265352608530791,0.025719069440997312,Mercury,rv2_coarse,per_band
2,Egress,561,-4.716521059413794,-0.19913167520791858,Mercury,rv2_coarse,per_band
2,Ingress,807,-3.0071058666539323,-0.10585513992436578,Mercury,rv2_coarse,per_band
3,Egress,553,-18.680540987061676,-0.7943774065007987,Mercury,rv2_coarse,per_band
3,Ingress,797,-16.668687238064994,-0.5904351947908572,Mercury,rv2_coarse,per_band
4,Egress,555,-21.25456069904692,-0.9022058558463081,Mercury,rv2_coarse,per_band
4,Ingress,798,-8.14657868046841,-0.28838575920389525,Mercury,rv2_coarse,per_band
5,Egress,571,-6.787163944314481,-0.28403397100482186,Mercury,rv2_coarse,per_band
5,Ingress,804,-4.137203999648433,-0.145907935153234,Mercury,rv2_coarse,per_band
6,Egress,572,4.120631819484956,0.17229227176126377,Mercury,rv2_coarse,per_band
6,Ingress,811,-2.5889844684160694,-0.09091154070803283,Mercury,rv2_coarse,per_band
7,Egress,573,4.530745248044636,0.18927459807809624,Mercury,rv2_coarse,per_band
7,Ingress,811,2.682889838244242,0.09420900423320402,Mercury,rv2_coarse,per_band
8,Egress,571,-3.552370834557977,-0.14866209257644886,Mercury,rv2_coarse,per_band
8,Ingress,813,-9.607632132188137,-0.3369543700014039,Mercury,rv2_coarse,per_band
9,Egress,561,-2.984895144137851,-0.12602237176187375,Mercury,rv2_coarse,per_band
9,Ingress,806,-3.5461618900574177,-0.12490822512087879,Mercury,rv2_coarse,per_band
