target,frequency_band,mean,std,obs_z,n_blocked,n_visible,perm_percentile,perm_reps
Cygnus-A,1,4.169049222410955,0.02194918108184853,4.163317045304949,22,5072,0.4,20
Cygnus-A,2,1.3079814437434505,0.020263455684945975,1.2612176800608952,21,4692,0.05,20
Cygnus-A,3,0.9885042472933865,0.28645983867609814,1.1778699951390532,14,4713,0.65,20
Cygnus-A,4,1.4991980024870577,1.1544027477936705,-0.9941818239530978,21,4650,0.05,20
Cygnus-A,5,2.0335010722314637,2.4871735375857518,1.1897586467892884,21,4836,0.55,20
Cygnus-A,6,9.510498473993692,3.6359523986008595,8.11403897891464,19,4629,0.2,20
Cygnus-A,7,1.5307666520893526,0.09025279246061552,1.5564215879337913,27,4705,0.45,20
Cygnus-A,8,1.0346966924343715,0.00034535769011308166,1.034708741795869,19,4517,0.6,20
Cygnus-A,9,2.5055539033627463,0.08967156316687205,2.5339027044424234,33,5077,0.15,20
Fornax-A,1,0.7232513810863965,1.2680810200760546,1.839939139176857,1283,3811,0.85,20
Fornax-A,2,0.5793636759987879,0.9933617736840599,1.2850491914722126,1128,3585,0.95,20
Fornax-A,3,-0.4645848957703439,0.9146015620002248,-0.9568743671618306,1130,3597,0.6,20
Fornax-A,4,1.2264010237199277,0.23843243292431035,2.1446547443983035,1127,3544,1.0,20
Fornax-A,5,0.4152728112915904,1.0361836755878207,1.43492251691601,1150,3707,0.8,20
Fornax-A,6,-0.8734417453108734,0.6320916638393201,-0.7515026768485662,1128,3520,0.6,20
Fornax-A,7,1.499584156168487,0.006694001825284407,1.5150566469106215,1160,3572,0.95,20
Fornax-A,8,0.4227043417862009,0.9501750481359963,1.0306827331203903,1100,3436,0.8,20
Fornax-A,9,0.9788379435740392,1.0111494440760667,0.12504217873242238,1233,3877,0.2,20
Jupiter,1,0.7557718492793724,1.2471479492457695,4.202323085581774,2,5092,1.0,20
Jupiter,2,0.05164502640914388,1.0355980843980666,1.2305425752928325,4,4709,0.8,20
Jupiter,3,1.182252447261373,0.01139346622611412,1.2518903830826156,3,4724,1.0,20
Jupiter,5,6.707930422085445,0.04944350076508366,7.188265354558671,2,4855,1.0,20
Jupiter,6,2.4854090766225085,1.7417746568372345,0.9291240795469431,4,4644,0.25,20
Jupiter,7,0.8949167091349037,0.9359693266238851,1.5453089760025156,3,4729,0.8,20
Jupiter,8,0.9536954892152743,0.0883121341771101,1.0268080037378187,4,4532,0.9,20
Mars,1,0.7555759157689497,1.2108151962540308,-0.7613741285007307,165,4929,0.1,20
Mars,2,0.463026088225711,0.9453914051537388,1.3107794652372404,154,4559,1.0,20
Mars,3,0.858964209690823,0.4691281046526743,1.1556820935605667,140,4587,1.0,20
Mars,4,0.5917129533441509,0.3086500165419727,0.0387843712629579,131,4540,0.05,20
Mars,5,1.8622478235470292,0.5453937052741475,6.460159069427692,188,4669,1.0,20
Mars,6,2.303723948906485,1.160849462934758,0.7111601060577074,131,4517,0.15,20
Mars,7,0.2644051004553238,1.1215908525579192,1.5624753160786833,148,4584,1.0,20
Mars,8,0.08435118015742464,1.010261509598626,1.0154194066033295,147,4389,0.75,20
Mars,9,0.9174260723905474,1.22644443094324,-0.37956062685024256,134,4976,0.2,20
Mercury,1,1.3117540707128066,1.4402634960015122,0.5324601717536507,21,5073,0.3,20
Mercury,2,1.2789316466215144,0.010142145321412445,1.1606039187928492,15,4698,0.0,20
Mercury,3,0.6611765943072594,0.8473341332732548,1.2278190709174501,11,4716,1.0,20
Mercury,4,0.860829539698963,0.45745962179637073,2.1840842315066293,12,4659,1.0,20
Mercury,5,0.06058451225069199,1.0315614398369133,7.393058316325984,13,4844,1.0,20
Mercury,6,0.7283468086254402,0.9516883456045934,0.5492919421580111,16,4632,0.4,20
Mercury,7,1.1137983893016106,0.79868553952381,1.524853480589668,18,4714,1.0,20
Mercury,8,1.0227763462683497,0.016713878387601414,1.033716718632741,16,4520,1.0,20
Mercury,9,-0.18713914443836002,1.4585243740862943,-0.9958561557247354,11,5099,0.3,20
Neptune,1,-0.42173829107868466,1.0391208207591958,-0.2795081921218218,693,4401,0.75,20
Neptune,2,0.4660998571101664,0.7926813970040274,1.2852580275353205,641,4072,0.95,20
Neptune,3,1.049100146378629,0.10491809012182729,1.0023301497809003,616,4111,0.15,20
Neptune,4,-0.9099628811396402,0.11626329676215348,-0.903530766797521,636,4035,0.55,20
Neptune,5,0.32452465990538937,1.0804216110898979,1.9752779960092732,649,4208,1.0,20
Neptune,6,-1.0415528759709005,0.4403401047639766,2.449817969073293,613,4035,1.0,20
Neptune,7,-0.18742167412808006,1.0612547677723245,1.4578104969618424,635,4097,0.75,20
Neptune,8,0.9769226360580839,0.03020641992965486,1.0247318999945134,623,3913,1.0,20
Neptune,9,-0.19194992619813778,0.9137026725818681,0.6171499031829579,709,4401,0.9,20
Sag-A,1,1.2691761146437561,1.144649870077102,0.1301246872921219,786,4308,0.2,20
Sag-A,2,0.37161646429496303,0.9461137955786957,1.0383321759966515,720,3993,0.7,20
Sag-A,3,0.7984534455190119,0.28865457290012386,0.4753044091525388,686,4041,0.1,20
Sag-A,4,0.3980064749781054,0.38404001114439307,-1.5390474405552224,731,3940,0.0,20
Sag-A,5,1.3663755218150881,1.0031187483030908,0.823919178256562,737,4120,0.2,20
Sag-A,6,2.919065376700675,1.6440954124306557,4.059712594557774,665,3983,0.65,20
Sag-A,7,0.02749907970671562,0.8593647234225574,-0.8915935487776895,682,4050,0.25,20
Sag-A,8,0.28569754001498665,0.9736009950322417,1.0245273375002049,681,3855,0.85,20
Sag-A,9,1.8730917416555173,0.7912919096246633,0.917269505090322,776,4334,0.3,20
Saturn,1,-0.40771702018322553,0.6923687010128221,-0.8651688124491143,776,4318,0.3,20
Saturn,2,0.7741963266808213,0.6963594561495786,1.2596327507791942,715,3998,0.45,20
Saturn,3,0.8765752581834658,0.6368055102752676,0.9205281963285888,702,4025,0.1,20
Saturn,4,0.4448674896452836,0.9533895259506321,0.6764542769840035,697,3974,0.5,20
Saturn,5,-0.5789167583608237,0.9172930830810329,-1.5661928304731316,755,4102,0.1,20
Saturn,6,0.6971590877887468,1.2055425047686417,1.7462788587084679,701,3947,0.8,20
Saturn,7,0.4170231847470096,1.0417630966149485,-0.4508400611501082,721,4011,0.15,20
Saturn,8,0.9983440803741346,0.03453335081502412,1.023086595290589,677,3859,0.75,20
Saturn,9,-0.2913586898301773,1.281654614391086,-0.04621382670757051,765,4345,0.7,20
Uranus,1,1.7685960123056503,2.2746107968279707,3.8917498562681034,62,5032,0.55,20
Uranus,2,1.2662456762068048,0.022522328083845595,1.290798064468494,75,4638,0.9,20
Uranus,3,0.4900152751135227,0.5566117856643755,1.18516396019072,59,4668,1.0,20
Uranus,4,-1.010114213774815,0.59542243810434,1.8925408869194518,64,4607,1.0,20
Uranus,5,-4.547579567753787,0.7655313872090692,6.955221314509864,58,4799,1.0,20
Uranus,6,6.921156112262841,2.7446791875220695,3.5753886005932145,73,4575,0.1,20
Uranus,7,1.3906379201527876,0.048552237178619534,1.5196890662484392,67,4665,1.0,20
Uranus,8,0.919402426332152,0.45322547204758573,1.0296282689516587,69,4467,0.4,20
Uranus,9,1.6725423887234485,1.5198869499735517,2.543622988251458,81,5029,0.8,20
Venus,1,-0.4434289887750208,0.7151836639002178,3.1393926104962273,108,4986,1.0,20
Venus,2,0.803951533833977,0.6529533375754853,1.2877282846647717,132,4581,0.9,20
Venus,3,1.1086269940079698,0.024886698461270538,1.1312410511112403,102,4625,0.75,20
Venus,4,0.11248085106137003,1.2459118571812773,2.01178355713921,121,4550,0.95,20
Venus,5,0.7339374113284095,1.22625975150887,-0.8460080170106449,113,4744,0.0,20
Venus,6,0.18659374034016263,1.2256851112457723,1.8444885407817393,108,4540,0.9,20
Venus,7,0.3052059579769767,1.0522092986075626,1.558997041135118,107,4625,1.0,20
Venus,8,0.9977819358751658,0.03216973793407653,1.0346740720534877,118,4418,1.0,20
Venus,9,-0.13097487582929662,1.2137834314016582,2.5424335490038246,152,4958,1.0,20
