frequency_mhz,brightness_temperature_k,total_error_percent,calibration_source
0.20,15850000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
0.30,16600000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
0.40,22400000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
0.50,25100000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
0.70,21900000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
1.00,19500000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
1.31,16600000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
2.20,9550000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
3.60,5020000,100,Manning and Dulk 2001 text: I_nu peak about 2e-20 W m^-2 Hz^-1 sr^-1 at 3.6 MHz
4.70,2000000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
6.55,890000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
9.18,355000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
13.80,126000,100,Manning and Dulk 2001 Fig. 1 top-panel spectrum; digitized/approximate Wind-WAVES plus literature composite
